姓名,位置,參與,生日,身高,場數,攻擊,攔網,發球,接發,防守,舉球,總得分
,,季程,星座,體重,,Attack,Block,Serve,Receive,Dig,Set,Points
黃宇晨,舉球,整,43768,188,24,10,8,2,--,10,179,20
,,,天蠍座,77,,27,53,172,,110,706,
,,,,,,0.37,,,,,,
,,,,,,,,,,,,
,S,,,,,,,,,,,
李佳軒,自由,整,43714,171,24,--,--,--,176,86,16,--
,,,處女座,70,,,,,426,456,85,
,,,,,,,,,,,,
,,,,,,,,,,,,
,L,,,,,,,,,,,
詹旻翰,對角,整,43603,190,24,56,14,2,69,15,4,72
,,,金牛座,95,,134,45,98,160,94,22,
,,,,,,0.42,,,,,,
,,,,,,,,,,,,
,OP,,,,,,,,,,,
戴儒謙,舉球,整,43783,184,24,15,13,1,0,34,387,29
,,,天蠍座,82,,30,75,279,4,226,1092,
,,,,,,0.5,,,,,,
,,,,,,,,,,,,
,S,,,,,,,,,,,
莊邵捷,攔中,整,43756,195,24,11,3,0,1,1,1,14
,,,天秤座,85,,24,22,26,4,16,5,
,,,,,,0.46,,,,,,
,,,,,,,,,,,,
,MB,,,,,,,,,,,
張育陞,對角,整,43554,188,24,159,21,21,3,10,2,201
,,,牡羊座,84,,297,114,161,5,103,15,
,,,,,,0.54,,,,,,
,,,,,,,,,,,,
,OP,,,,,,,,,,,
黃建逢,長攻,整,43830,195,24,146,18,6,40,12,3,170
,,,摩羯座,90,,286,80,97,159,103,11,
,,,,,,0.51,,,,,,
,,,,,,,,,,,,
,OS,,,,,,,,,,,
王明浚,對角,整,43676,195,24,221,20,13,1,21,10,254
,,,獅子座,90,,411,163,198,5,151,58,
,,,,,,0.54,,,,,,
,,,,,,,,,,,,
,OP,,,,,,,,,,,
張善源,長攻,整,43521,187,24,253,34,9,135,38,6,296
,OS,,雙魚座,84,,461,127,347,431,233,51,
,,,,,,0.55,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
顏振富,攔中,整,43766,198,24,102,25,5,5,6,3,132
,,,天蠍座,92,,180,165,204,21,81,23,
,,,,,,0.57,,,,,,
,,,,,,,,,,,,
,MB,,,,,,,,,,,
許紋誠,長攻,整,43646,188,24,98,8,6,79,13,0,112
,,,巨蟹座,73,,212,60,171,286,150,15,
,,,,,,0.46,,,,,,
,,,,,,,,,,,,
,OS,,,,,,,,,,,
林宜暉,攔中,整,43515,194,24,133,73,9,5,4,6,215
,,,雙魚座,85,,226,310,320,23,92,24,
,,,,,,0.59,,,,,,
,,,,,,,,,,,,
,MB,,,,,,,,,,,
